iter	Passed	Remaining
0	46	18369
1	89	17865
2	135	17881
3	181	17926
4	225	17841
5	270	17751
6	317	17826
7	364	17850
8	412	17917
9	459	17932
10	503	17801
11	547	17706
12	591	17616
13	640	17667
14	683	17549
15	725	17402
16	767	17296
17	814	17295
18	857	17186
19	901	17123
20	945	17069
21	988	16989
22	1032	16923
23	1074	16838
24	1121	16817
25	1164	16744
26	1208	16689
27	1252	16636
28	1299	16620
29	1342	16562
30	1386	16499
31	1428	16427
32	1469	16341
33	1510	16255
34	1551	16182
35	1593	16110
36	1635	16041
37	1676	15967
38	1716	15884
39	1758	15828
40	1799	15757
41	1842	15704
42	1886	15661
43	1926	15588
44	1967	15524
45	2011	15477
46	2048	15388
47	2087	15308
48	2131	15269
49	2175	15231
50	2218	15180
51	2264	15155
52	2306	15102
53	2364	15153
54	2408	15109
55	2453	15073
56	2496	15023
57	2543	14997
58	2591	14976
59	2639	14956
60	2684	14919
61	2731	14890
62	2773	14833
63	2815	14782
64	2857	14726
65	2902	14686
66	2946	14644
67	2991	14603
68	3034	14554
69	3080	14522
70	3123	14474
71	3165	14422
72	3212	14389
73	3255	14343
74	3296	14286
75	3338	14231
76	3382	14187
77	3425	14142
78	3467	14090
79	3512	14051
80	3554	13996
81	3596	13948
82	3644	13919
83	3688	13876
84	3731	13829
85	3777	13791
86	3821	13749
87	3863	13698
88	3907	13654
89	3949	13604
90	3996	13571
91	4039	13523
92	4079	13466
93	4128	13440
94	4171	13392
95	4211	13335
96	4256	13295
97	4298	13246
98	4346	13214
99	4391	13173
100	4431	13119
101	4471	13062
102	4512	13012
103	4558	12973
104	4600	12924
105	4639	12869
106	4682	12821
107	4721	12765
108	4762	12715
109	4804	12666
110	4843	12609
111	4882	12556
112	4921	12498
113	4962	12450
114	5001	12396
115	5042	12346
116	5083	12296
117	5124	12245
118	5161	12189
119	5202	12138
120	5239	12082
121	5278	12028
122	5313	11965
123	5350	11908
124	5390	11859
125	5430	11808
126	5466	11749
127	5502	11692
128	5537	11633
129	5579	11587
130	5614	11529
131	5648	11467
132	5685	11413
133	5720	11355
134	5754	11296
135	5792	11243
136	5828	11188
137	5863	11132
138	5899	11076
139	5934	11021
140	5974	10974
141	6013	10925
142	6049	10871
143	6086	10820
144	6123	10769
145	6158	10713
146	6193	10660
147	6229	10607
148	6264	10553
149	6305	10509
150	6347	10466
151	6389	10424
152	6428	10377
153	6467	10330
154	6506	10284
155	6547	10241
156	6587	10195
157	6626	10148
158	6662	10098
159	6699	10049
160	6736	10000
161	6774	9952
162	6810	9902
163	6846	9852
164	6882	9802
165	6919	9754
166	6955	9704
167	6994	9658
168	7029	9608
169	7066	9560
170	7104	9513
171	7143	9469
172	7180	9421
173	7214	9370
174	7250	9322
175	7286	9273
176	7321	9224
177	7357	9176
178	7397	9133
179	7435	9088
180	7472	9041
181	7509	8995
182	7549	8952
183	7589	8909
184	7629	8866
185	7667	8821
186	7703	8774
187	7740	8728
188	7778	8683
189	7814	8637
190	7850	8589
191	7888	8545
192	7925	8500
193	7959	8451
194	7996	8406
195	8035	8363
196	8072	8317
197	8109	8273
198	8145	8227
199	8181	8181
200	8219	8137
201	8254	8091
202	8292	8047
203	8334	8007
204	8370	7962
205	8409	7919
206	8446	7875
207	8483	7830
208	8521	7787
209	8560	7745
210	8597	7701
211	8636	7658
212	8673	7614
213	8705	7566
214	8746	7525
215	8783	7482
216	8818	7437
217	8854	7391
218	8888	7346
219	8924	7301
220	8960	7257
221	8996	7213
222	9034	7171
223	9071	7127
